request_num,status_code,limit,remaining,reset,period,retry_after,response_time
1,429,1,0,1727415848,1,1,191.6358470916748
2,429,1,0,1727415848,1,1,189.6820068359375
3,429,1,0,1727415848,1,1,188.09199333190918
4,200,1,0,1727415848,1,,222.869873046875
5,429,1,0,1727415848,1,1,186.59496307373047
6,429,1,0,1727415848,1,1,188.75765800476074
7,429,1,0,1727415848,1,1,187.11423873901367
8,429,1,0,1727415848,1,1,187.72459030151367
9,429,1,0,1727415848,1,1,181.66232109069824
10,429,1,0,1727415848,1,1,185.50419807434082
11,429,1,0,1727415848,1,1,87.54205703735352
12,429,1,0,1727415848,1,1,98.0384349822998
13,429,1,0,1727415848,1,1,86.43412590026855
14,429,1,0,1727415848,1,1,100.73208808898926
15,429,1,0,1727415848,1,1,102.06842422485352
16,429,1,0,1727415848,1,1,112.60628700256348
17,429,1,0,1727415848,1,1,54.264068603515625
18,429,1,0,1727415848,1,1,88.34123611450195
19,429,1,0,1727415848,1,1,90.25311470031738
20,429,1,0,1727415848,1,1,57.906389236450195
21,429,1,0,1727415848,1,1,70.02019882202148
22,429,1,0,1727415848,1,1,85.32428741455078
23,429,1,0,1727415848,1,1,97.72181510925293
24,429,1,0,1727415848,1,1,90.48914909362793
25,429,1,0,1727415848,1,1,58.81547927856445
26,429,1,0,1727415848,1,1,65.67096710205078
27,429,1,0,1727415848,1,1,99.55072402954102
28,429,1,0,1727415848,1,1,100.28600692749023
29,429,1,0,1727415848,1,1,97.71537780761719
30,429,1,0,1727415848,1,1,44.05951499938965
31,429,1,0,1727415848,1,1,84.29670333862305
32,429,1,0,1727415848,1,1,93.88351440429688
33,429,1,0,1727415848,1,1,56.0755729675293
34,429,1,0,1727415848,1,1,56.58864974975586
35,429,1,0,1727415848,1,1,52.809953689575195
36,429,1,0,1727415848,1,1,118.99614334106445
37,429,1,0,1727415848,1,1,103.76262664794922
38,429,1,0,1727415848,1,1,90.57784080505371
39,429,1,0,1727415848,1,1,95.94488143920898
40,429,1,0,1727415848,1,1,86.37094497680664
41,429,1,0,1727415848,1,1,84.62882041931152
42,429,1,0,1727415848,1,1,93.8422679901123
43,429,1,0,1727415848,1,1,84.93804931640625
44,429,1,0,1727415848,1,1,89.02835845947266
45,429,1,0,1727415848,1,1,95.81542015075684
46,429,1,0,1727415848,1,1,54.007768630981445
47,429,1,0,1727415849,1,1,163.32006454467773
48,429,1,0,1727415849,1,1,174.1182804107666
49,429,1,0,1727415849,1,1,156.19659423828125
50,200,1,0,1727415849,1,,190.74153900146484
51,429,1,0,1727415849,1,1,152.19807624816895
52,429,1,0,1727415849,1,1,150.56681632995605
53,429,1,0,1727415849,1,1,143.9192295074463
54,429,1,0,1727415849,1,1,151.8113613128662
55,429,1,0,1727415849,1,1,112.55168914794922
56,429,1,0,1727415849,1,1,121.09732627868652
57,429,1,0,1727415849,1,1,123.12746047973633
58,429,1,0,1727415849,1,1,57.87944793701172
59,429,1,0,1727415849,1,1,122.18618392944336
60,429,1,0,1727415849,1,1,121.52695655822754
61,429,1,0,1727415849,1,1,56.27250671386719
62,429,1,0,1727415849,1,1,114.78328704833984
63,429,1,0,1727415849,1,1,61.24687194824219
64,429,1,0,1727415849,1,1,109.27224159240723
65,429,1,0,1727415849,1,1,106.31942749023438
66,429,1,0,1727415849,1,1,65.94705581665039
67,429,1,0,1727415849,1,1,82.76820182800293
68,429,1,0,1727415849,1,1,79.12325859069824
69,429,1,0,1727415849,1,1,93.90497207641602
70,429,1,0,1727415849,1,1,92.06056594848633
71,429,1,0,1727415849,1,1,65.39726257324219
72,429,1,0,1727415849,1,1,99.7307300567627
73,429,1,0,1727415849,1,1,100.2039909362793
74,429,1,0,1727415849,1,1,96.97651863098145
75,429,1,0,1727415849,1,1,65.7041072845459
76,429,1,0,1727415849,1,1,87.63575553894043
77,429,1,0,1727415849,1,1,93.51587295532227
78,429,1,0,1727415849,1,1,94.00463104248047
79,429,1,0,1727415849,1,1,95.4282283782959
80,429,1,0,1727415849,1,1,81.00056648254395
81,429,1,0,1727415849,1,1,98.90174865722656
82,200,1,0,1727415854,1,,5182.441234588623
83,429,1,0,1727415849,1,1,85.63113212585449
84,429,1,0,1727415849,1,1,113.5413646697998
85,429,1,0,1727415849,1,1,91.29834175109863
86,429,1,0,1727415849,1,1,103.19185256958008
87,429,1,0,1727415849,1,1,95.33214569091797
88,429,1,0,1727415849,1,1,95.98374366760254
89,429,1,0,1727415849,1,1,80.59239387512207
90,429,1,0,1727415849,1,1,58.66670608520508
91,429,1,0,1727415850,1,1,1085.3774547576904
92,429,1,0,1727415849,1,1,85.28947830200195
93,429,1,0,1727415849,1,1,50.537824630737305
94,429,1,0,1727415849,1,1,58.52556228637695
95,429,1,0,1727415849,1,1,82.02171325683594
96,429,1,0,1727415849,1,1,85.15238761901855
97,429,1,0,1727415849,1,1,84.69367027282715
98,429,1,0,1727415849,1,1,99.03335571289062
99,429,1,0,1727415849,1,1,85.49141883850098
100,429,1,0,1727415849,1,1,58.54225158691406
101,429,1,0,1727415849,1,1,98.17814826965332
102,429,1,0,1727415849,1,1,82.63874053955078
103,429,1,0,1727415849,1,1,70.87373733520508
104,429,1,0,1727415849,1,1,53.40290069580078
105,429,1,0,1727415849,1,1,91.48955345153809
106,429,1,0,1727415849,1,1,82.55410194396973
